"CAND_ID","CAND_NAME","CAND_ICI","PTY_CD","CAND_PTY_AFFILIATION","TTL_RECEIPTS","TRANS_FROM_AUTH","TTL_DISB","TRANS_TO_AUTH","COH_BOP","COH_COP","CAND_CONTRIB","CAND_LOANS","OTHER_LOANS","CAND_LOAN_REPAY","OTHER_LOAN_REPAY","DEBTS_OWED_BY","TTL_INDIV_CONTRIB","CAND_OFFICE_ST","CAND_OFFICE_DISTRICT","SPEC_ELECTION","PRIM_ELECTION","RUN_ELECTION","GEN_ELECTION","GEN_ELECTION_PRECENT","OTHER_POL_CMTE_CONTRIB","POL_PTY_CONTRIB","CVG_END_DT","INDIV_REFUNDS","CMTE_REFUNDS","l_DISB"
"H6AL01052","BECKERLE, VIVIAN SHEFFIELD","C",1,"DEM",16746,0,13482,0,0,3273,3242,0,0,0,0,0,10004,"AL",1,"","W","","L",31,2500,2300,"10/18/2006",0,0,9.50911074141338
"H2AL01077","BONNER, JO","I",2,"REP",1060003.03,0,875369.93,0,178261.99,362895.09,0,0,0,0,0,0,705199.76,"AL",1,"","W","","W",68,353672.45,1000,"12/31/2006",0,0,13.6824018531375
"H4AL02063","JAMES, CHARLES D.","C",1,"DEM",1806,0,6256,0,4350,0,0,5906,0,350,0,0,250,"AL",2,"","W","","L",30,0,0,"11/27/2006",0,0,8.74129628222515
"H2AL02067","EVERETT, TERRY","I",2,"REP",698389.94,0,330379.74,0,281717.43,649727.63,0,0,0,0,0,0,311435.71,"AL",2,"","W","","W",69,381954.23,0,"12/31/2006",2000,3000,12.7079979991362
"H6AL03140","PIERCE, GREG A.","C",1,"DEM",7709,0,7674,0,0,34,600,0,0,0,0,0,4992,"AL",3,"","W","","L",38,0,2000,"11/27/2006",0,0,8.9455932708069
"H2AL03032","ROGERS, MICHAEL","I",2,"REP",1435195.88,0,1046769.68,0,246299.64,617997.62,0,0,0,0,0,0,709779.79,"AL",3,"","W","","W",59,590882.19,40475.95,"12/31/2006",1500,0,13.8612194847555
"H6AL03132","LAYFIELD, MARK EDWIN","C",3,"IND",5041,0,4951,0,5001,0,5001,0,0,0,0,0,40,"AL",3,"","","","L",2,0,0,"11/27/2006",0,0,8.50734485536142
"H6AL04098","ADERHOLT, ROBERT B.","I",2,"REP",715804.23,0,622255.47,0,168519.19,262067.95,0,0,0,0,0,0,418920.05,"AL",4,"","W","","W",70,291600,1315.65,"12/31/2006",0,0,13.3411060108702
"H6AR01072","BERRY, MARION","I",1,"DEM",1295569.48,0,1320299.4,0,171975.91,147245.99,0,0,0,0,0,0,631031.56,"AR",1,"","W","","W",69,650025.04,12912.46,"12/31/2006",0,1030.63,14.093369087025
"H6AR01106","STUMBAUGH, MICKEY DARRIN STUBBY","C",2,"REP",98112.32,0,93110.74,0,0,5001.58,0,0,0,0,0,0,81290.3,"AR",1,"","","","L",30,6770.5,7267,"12/31/2006",100,0,11.4415448164399
